Code	ISU_CD	Name	Market	Dept	Close	ChangeCode	Changes	ChagesRatio	Open	High	Low	Volume	Amount	Marcap	Stocks	MarketId
005930	KR7005930003	삼성전자	KOSPI		84500	2	-800	-0.94	84500	85000	83800	18883752	1593633428500	504446625475000	5969782550	STK
000660	KR7000660001	SK하이닉스	KOSPI		182800	2	-5200	-2.77	184800	187600	181800	4043133	743445102300	133078832322000	728002365	STK
373220	KR7373220003	LG에너지솔루션	KOSPI		376000	2	-3500	-0.92	375500	380000	373000	152154	57173514500	87984000000000	234000000	STK
207940	KR7207940008	삼성바이오로직스	KOSPI		813000	2	-4000	-0.49	812000	816000	804000	39178	31740880000	57864462000000	71174000	STK
005935	KR7005931001	삼성전자우	KOSPI		69000	2	-300	-0.43	68800	69000	68100	1170158	80383326400	56779182300000	822886700	STK
005380	KR7005380001	현대차	KOSPI		225500	2	-500	-0.22	223500	230000	223000	1121453	254289660500	47700354603000	211531506	STK
000270	KR7000270009	기아	KOSPI		105000	2	-1700	-1.59	105300	108500	104300	1944665	206599919642	42214641315000	402044203	STK
068270	KR7068270008	셀트리온	KOSPI		177500	2	-2100	-1.17	178000	179300	177300	335027	59604195200	38703832755000	218049762	STK
005490	KR7005490008	POSCO홀딩스	KOSPI		394500	2	-7000	-1.74	396000	400000	393000	424303	167888552500	33363350235000	84571230	STK
035420	KR7035420009	NAVER	KOSPI		193100	2	-1200	-0.62	192100	193800	190000	484403	93154765800	31361099501400	162408594	STK
006400	KR7006400006	삼성SDI	KOSPI		420500	2	-21500	-4.86	433500	434500	420000	429686	182279169500	28915484865000	68764530	STK
051910	KR7051910008	LG화학	KOSPI		400000	2	-2500	-0.62	397000	404500	395000	340599	135877566500	28236937200000	70592343	STK
028260	KR7028260008	삼성물산	KOSPI		150800	2	-900	-0.59	149300	152400	149000	232572	34944684700	27987223836000	185591670	STK
105560	KR7105560007	KB금융	KOSPI		69100	2	-400	-0.58	68400	70000	68400	859793	59797300776	27882615075200	403511072	STK
012330	KR7012330007	현대모비스	KOSPI		242500	2	-1500	-0.61	240000	245000	239000	129340	31392244000	22711360295000	93655094	STK
055550	KR7055550008	신한지주	KOSPI		44100	2	-450	-1.01	43900	44750	43900	1379480	60975162050	22464240737400	509393214	STK
035720	KR7035720002	카카오	KOSPI		48750	2	-550	-1.12	48400	49100	48200	1559612	75901717150	21701225812500	445153350	STK
003670	KR7003670007	포스코퓨처엠	KOSPI		267000	2	-7500	-2.73	270500	276000	266500	211285	57007469000	20682679740000	77463220	STK
032830	KR7032830002	삼성생명	KOSPI		91900	2	-1500	-1.61	92100	93700	91600	233917	21605681100	18380000000000	200000000	STK
086790	KR7086790003	하나금융지주	KOSPI		57800	2	-500	-0.86	57100	59000	56500	902301	52432668000	16898211364400	292356598	STK
138040	KR7138040001	메리츠금융지주	KOSPI		82800	1	200	0.24	81800	84100	81600	266236	22090394700	16839211039200	203372114	STK
066570	KR7066570003	LG전자	KOSPI		95900	1	1600	1.7	94200	97600	93900	603196	57822234800	15693825362600	163647814	STK
086520	KR7086520004	에코프로	KOSDAQ	우량기업부	550000	2	-14000	-2.48	561000	573000	548000	357221	199275178000	14645217400000	26627668	KSQ
000810	KR7000810002	삼성화재	KOSPI		300000	2	-2000	-0.66	303000	307000	296500	81482	24469268000	14212451100000	47374837	STK
015760	KR7015760002	한국전력	KOSPI		21600	2	-150	-0.69	21500	21850	21400	962461	20827158600	13866424063200	641964077	STK
